Gaia_DR3_Source,Gaia_DR2_Source,RA,Dec,Plx,e_Plx,pmRA,pmDE,e_pm,RUWE,Gmag,e_Gmag,bp_rp,e_bp_rp,RV,e_RV,RV_Gaia,e_RV_Gaia,RV_GES,e_RV_GES,RV_Dario,e_RV_Dario,Teff_TIC_model,Teff_Gaia_bprp,Source_Spec,Teff_Spec,logg_Spec,[Fe/H]_Spec,RV_Spec,Li_Spec,Vbroad_Spec,Prot,Prot_TESS,Member_Gaia,Member_CG,Member_Theia,Member_DJF,Member_Hunt,Member_Curtis,Binary_Astrom,Binary_Spec,Binary_Phot,d_Plx,d_pm,d_RV,d_CMD,Done,N_Sectors_Cycle1,N_Sectors_Cycle3,N_Sectors_Cycle5,LS_Power_Cycle1,LS_Period_Cycle1,LS_Power_Cycle1_rapid,LS_Period_Cycle1_rapid,LS_Power_Cycle1_slow,LS_Period_Cycle1_slow,LS_Power_Cycle3,LS_Period_Cycle3,LS_Power_Cycle3_rapid,LS_Period_Cycle3_rapid,LS_Power_Cycle3_slow,LS_Period_Cycle3_slow,LS_Power_Cycle5,LS_Period_Cycle5,LS_Power_Cycle5_rapid,LS_Period_Cycle5_rapid,LS_Power_Cycle5_slow,LS_Period_Cycle5_slow,Possible_Blend_Cycle1,Possible_Blend_Cycle3,Possible_Blend_Cycle5,Plx_Outlier,RV_Outlier,PM_Outlier,Power_Final,Prot_Final,Class,Binary_Candidate,Dario_Class
5335590043067824384,5335590043067824384,176.06431043457,-59.65904774838,1.8746,0.0603,-11.916,2.683,0.08417244204607587,4.904,12.740729,0.002764,0.868668,0.004805041623128774,nan,nan,nan,nan,nan,nan,nan,nan,5745.140479962665,5824.1,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,2,2,2,0,0.1055532381957779,0.18203284707373502,0.1055532381957779,0.18203284707373502,0.07991615018928612,4.539730806704727,0.03548815216674349,0.18203284707373502,0.03548815216674349,0.18203284707373502,0.019913201248696964,4.167406353513531,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,1.0,0.1055532381957779,0.18203284707373502,2.0,1.0,-1.0
5335830806109399424,5335830806109399424,174.95187666767,-60.37466047208,2.1245,0.0558,-10.543,3.84,0.08091971329657564,1.038,16.906582,0.00286,2.042562,0.014459579834836141,nan,nan,nan,nan,nan,nan,nan,nan,3849.8524851498614,3999.5,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,2,2,2,0,0.11109600059349002,5.762281656649437,0.012454359131196736,2.96619630478406,0.11109600059349002,5.762281656649437,0.05854551528743355,5.638707136261443,0.004186984678981218,2.8209595699672536,0.05854551528743355,5.638707136261443,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0.0,0.11109600059349002,5.70049439645544,2.0,0.0,-1.0
5335892103889141632,5335892103889141632,173.94924629519,-60.20875933194,2.2433,0.0111,-11.23,4.394,0.01769180601295413,0.83,12.108495,0.002763,0.706615,0.004785890303799284,nan,nan,4.33,3.2,nan,nan,nan,nan,6283.438069077414,6328.0,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,2,2,2,0,0.20231953397633473,1.0634679177748103,0.20231953397633473,1.0634679177748103,0.007242557311417666,3.3475368404631047,0.06620149787020654,0.5266013956435316,0.06620149787020654,0.5266013956435316,0.008731132832181599,6.480871165712824,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0.0,0.20231953397633473,1.0583353545309366,2.0,0.0,-1.0
5335944777364633216,5335944777364633216,172.16330081537,-60.80652505967,2.2576,0.0477,-10.937,4.303,0.06935416353759881,1.172,16.443142,0.002809,2.117983,0.01413628777296218,nan,nan,nan,nan,nan,nan,nan,nan,3803.9409614118167,3629.8,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,2,2,2,1,0.009883879300088052,1.0658974900542306,0.009883879300088052,1.0658974900542306,0.006976638276213755,20.44680274328412,0.0019033162164400867,0.12534690770052054,0.0019033162164400867,0.12534690770052054,0.0017729911600301278,5.129217321569331,0.0014991660424729671,6.473480807867109,0.0013385124231377061,0.1680595230949145,0.0014991660424729671,6.473480807867109,0,0,0,0.0,0.0,0.0,0.0019033162164400867,5.129217321569331,3.0,0.0,-1.0
5336006075107018112,5336006075107018112,171.60115185703,-60.44163695537,1.8937,0.0159,-9.468,3.653,0.023345235059857503,0.9,9.081132,0.002764,0.164304,0.0047338492793919835,nan,nan,-0.94,3.18,nan,nan,nan,nan,8685.998857604103,nan,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,2,2,1,1,0.2252848068073647,0.2162587997980807,0.2252848068073647,0.2162587997980807,0.07147362349420316,3.4208994481575417,0.10327896962296046,6.212966672318089,0.04776823696521101,0.2162587997980807,0.10327896962296046,6.212966672318089,0.23041157577336652,0.2162587997980807,0.23041157577336652,0.2162587997980807,0.00519322221269332,7.305725334299342,0,0,0,0.0,0.0,1.0,0.0,nan,0.0,0.0,-1.0
5336049712017786496,5336049712017786496,171.27151112477,-60.03740642863,2.1533,0.0386,-10.936,3.819,0.05728001396647874,1.24,15.933936,0.002895,1.735546,0.007185079053148963,nan,nan,nan,nan,nan,nan,nan,nan,4077.1523429136296,4460.0,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,2,2,1,1,0.04790626704848675,8.679353302703856,0.0177149835300115,1.5854683152373221,0.04790626704848675,8.679353302703856,0.006562062852454915,6.853525492967335,0.0034131134898189187,0.7682458740080632,0.006562062852454915,6.853525492967335,0.0011301994680946528,1.028855101940157,0.0011301994680946528,1.028855101940157,0.0005081948830965648,3.5847326096596865,0,0,0,0.0,0.0,0.0,0.04790626704848675,8.679353302703856,3.0,0.0,-1.0
5336103377561991040,5336103377561991040,172.89777758823,-59.83137990029,2.2095,0.1077,-10.621,3.88,0.14362799170078233,1.056,18.172783,0.003014,2.496399,0.02349100223489837,nan,nan,nan,nan,nan,nan,nan,nan,3517.5349262504105,3471.2,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,-1.0
5336110421306754944,5336110421306754944,173.11906878474,-59.73138826502,2.1767,0.0118,-11.04,4.586,0.0170293863659264,0.98,12.266512,0.002762,0.738037,0.004741235703906736,nan,nan,3.6,4.0,nan,nan,nan,nan,6172.552368325396,6277.2,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,2,2,1,1,0.055450581321029806,3.133177582815531,0.03883301705655683,2.7699280497389207,0.055450581321029806,3.133177582815531,0.19273087583006523,0.17213497360203137,0.19273087583006523,0.17213497360203137,0.0283342726218223,4.762577787612885,0.014407600515871765,0.171742614708156,0.014407600515871765,0.171742614708156,0.004417670492523439,5.990213155635773,0,0,0,0.0,0.0,0.0,0.19273087583006523,0.17193879415509367,2.0,0.0,-1.0
5336118083530232320,5336118083530232320,172.70651179475,-59.68842241003,2.0638,0.1145,-10.479,4.637,0.15707959765672944,0.952,18.038519,0.003088,2.552404,0.033037737725213574,nan,nan,nan,nan,nan,nan,nan,nan,3466.229971108334,3460.3,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,-1.0
5336189315625751168,5336189315625751168,171.67959138806,-59.23604888918,2.1347,0.0592,-11.365,5.409,0.08786353054595519,1.003,17.129505,0.002864,2.371597,0.013565109398747952,nan,nan,nan,nan,nan,nan,nan,nan,3626.0369873389045,3706.7,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,-1.0
